<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zar,20260217, 798129.00, 812000.00, 777790.00, 795145.00,2364246388078.00, 2973353,7907,D,800531.00,792501.00
Zar,20260216, 808000.00, 808001.00, 795390.00, 800531.00,2475746216539.00, 3092630,4654,D,807334.00,797151.00
Zar,20260215, 805000.00, 814985.00, 797600.00, 807334.00,1652400342521.00, 2046737,4421,D,792782.00,808770.00
Zar,20260214, 786001.00, 799999.00, 786001.00, 792782.00,1517263522156.00, 1913847,5253,D,809943.00,796299.00
Zar,20260210, 815002.00, 819130.00, 801990.00, 809943.00,2225753070263.00, 2748035,6883,D,808114.00,811050.00
Zar,20260209, 817500.00, 819988.00, 795102.00, 808114.00,3996178840075.00, 4945069,8420,D,772813.00,804331.00
Zar,20260208, 757999.00, 781246.00, 753900.00, 772813.00,3176843461287.00, 4110754,7012,D,748713.00,781239.00
Zar,20260207, 742000.00, 758700.00, 734689.00, 748713.00,3229719952309.00, 4313695,8474,D,751302.00,749498.00
Zar,20260203, 750000.00, 755244.00, 745000.00, 751302.00,2733001703569.00, 3637685,6480,D,723591.00,752598.00
Zar,20260202, 729001.00, 749000.00, 700000.00, 723591.00,3609958774273.00, 4988950,13688,D,771989.00,717145.00
Zar,20260201, 784007.00, 793900.00, 755000.00, 771989.00,2791295987113.00, 3615718,11172,D,781799.00,766100.00
Zar,20260131, 741000.00, 808499.00, 741000.00, 781799.00,3919821885594.00, 5013848,11473,D,820319.00,794509.00
Zar,20260128, 844535.00, 844535.00, 801501.00, 820319.00,4404345265823.00, 5369066,11140,D,767768.00,809500.00
Zar,20260127, 752220.00, 777669.00, 752220.00, 767768.00,4090937691460.00, 5328352,11147,D,723384.00,774899.00
Zar,20260126, 709999.00, 733899.00, 709990.00, 723384.00,3393186416404.00, 4690710,10584,D,696529.00,730901.00
Zar,20260125, 694000.00, 699360.00, 689120.00, 696529.00,2497512371090.00, 3585656,6041,D,694379.00,696850.00
Zar,20260124, 713000.00, 713000.00, 690112.00, 694379.00,1294732124160.00, 1864589,4903,D,671708.00,692556.00
Zar,20260121, 667500.00, 675000.00, 667500.00, 671708.00,1438302080061.00, 2141260,4830,D,651618.00,671562.00
Zar,20260120, 655219.00, 657456.00, 648000.00, 651618.00,719835497439.00, 1104690,3526,D,655227.00,654610.00
Zar,20260119, 665000.00, 665000.00, 650200.00, 655227.00,821725213695.00, 1254108,3750,D,649487.00,651517.00
Zar,20260118, 653000.00, 653300.00, 646000.00, 649487.00,1162096735250.00, 1789253,4729,D,659809.00,647549.00
Zar,20260114, 661860.00, 666000.00, 655753.00, 659809.00,1915637792863.00, 2903321,4553,D,658882.00,657004.00
Zar,20260113, 663700.00, 664400.00, 655010.00, 658882.00,1632430189608.00, 2477576,5371,D,669113.00,661860.00
