<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kahroba,20260112, 151370.00, 153288.00, 148700.00, 150638.00,9503193835172.00, 63086094,22872,D,147683.00,149350.00
Kahroba,20260111, 144000.00, 149500.00, 144000.00, 147683.00,7692812451437.00, 52090206,18722,D,142303.00,149280.00
Kahroba,20260110, 147000.00, 147000.00, 139000.00, 142303.00,12420054303990.00, 87279107,38947,D,153360.00,141000.00
Kahroba,20260107, 154000.00, 155200.00, 150100.00, 153360.00,9215372925311.00, 60089643,24580,D,155616.00,154298.00
Kahroba,20260106, 157000.00, 159430.00, 152137.00, 155616.00,20682035902941.00, 132904092,40850,D,147930.00,156996.00
Kahroba,20260105, 147500.00, 150000.00, 144444.00, 147930.00,14971424339965.00, 101206456,29569,D,139418.00,149920.00
Kahroba,20260104, 140992.00, 141389.00, 137302.00, 139418.00,9115490103341.00, 65382437,21013,D,136209.00,141079.00
Kahroba,20251231, 137000.00, 139500.00, 131829.00, 136209.00,10333717373785.00, 75866501,29047,D,138241.00,134502.00
Kahroba,20251230, 134000.00, 142780.00, 133500.00, 138241.00,14517121897726.00, 105013160,35296,D,138316.00,140400.00
Kahroba,20251229, 140000.00, 143169.00, 133443.00, 138316.00,17292500857200.00, 125021796,53937,D,148269.00,133443.00
Kahroba,20251228, 148500.00, 154595.00, 141000.00, 148269.00,24506640666472.00, 165284743,54717,D,144903.00,146209.00
Kahroba,20251227, 144500.00, 146142.00, 143600.00, 144903.00,13218780476706.00, 91225285,30553,D,140232.00,146130.00
Kahroba,20251224, 139290.00, 141300.00, 138300.00, 140232.00,13778077494012.00, 98252259,29295,D,135365.00,139403.00
Kahroba,20251223, 133596.00, 136800.00, 132900.00, 135365.00,7644626195392.00, 56473994,22729,D,129911.00,136170.00
Kahroba,20251222, 128862.00, 130880.00, 128861.00, 129911.00,6496429144078.00, 50006585,18125,D,126629.00,130690.00
Kahroba,20251221, 125000.00, 127753.00, 124230.00, 126629.00,6825242227040.00, 53899458,15713,D,127422.00,127752.00
Kahroba,20251220, 128500.00, 128901.00, 125888.00, 127422.00,14808181238727.00, 116214036,24067,D,127191.00,127255.00
Kahroba,20251217, 126020.00, 128510.00, 125800.00, 127191.00,8443603552386.00, 66385420,19599,D,123787.00,127794.00
Kahroba,20251216, 124400.00, 124937.00, 123300.00, 123787.00,7817518306173.00, 63153095,24097,D,128378.00,124445.00
Kahroba,20251215, 130000.00, 130950.00, 126010.00, 128378.00,12417010084263.00, 96722545,34937,D,126642.00,126120.00
Kahroba,20251214, 125499.00, 127748.00, 125005.00, 126642.00,5885802633832.00, 46475971,16571,D,127248.00,127239.00
Kahroba,20251213, 126498.00, 127960.00, 125665.00, 127248.00,12295639827754.00, 96627102,26713,D,121271.00,126800.00
Kahroba,20251210, 118930.00, 122935.00, 118300.00, 121271.00,6501030179906.00, 53607237,17838,D,121482.00,122345.00
Kahroba,20251209, 123500.00, 123500.00, 119125.00, 121482.00,10754386038321.00, 88526516,36704,D,123881.00,119226.00
Kahroba,20251208, 125200.00, 125292.00, 123000.00, 123881.00,8337196457160.00, 67300172,25853,D,124132.00,123130.00
Kahroba,20251207, 125555.00, 125986.00, 122700.00, 124132.00,8489961300107.00, 68394397,24672,D,124081.00,123800.00
Kahroba,20251206, 123600.00, 124600.00, 122900.00, 124081.00,5184945901002.00, 41786770,18269,D,122290.00,124591.00
Kahroba,20251203, 122512.00, 122683.00, 122000.00, 122290.00,9257254608754.00, 75699156,15598,D,119055.00,122235.00
Kahroba,20251202, 119497.00, 120800.00, 118098.00, 119055.00,6417128335060.00, 53900668,24287,D,121765.00,120381.00
Kahroba,20251201, 120400.00, 122471.00, 120400.00, 121765.00,6796567775482.00, 55816887,19024,D,118763.00,122264.00
Kahroba,20251130, 118505.00, 119500.00, 117700.00, 118763.00,6575702306179.00, 55368363,18909,D,115915.00,119281.00
Kahroba,20251129, 115600.00, 117221.00, 115005.00, 115915.00,5196227735242.00, 44827837,17694,D,112631.00,117221.00
Kahroba,20251126, 112221.00, 112851.00, 112190.00, 112631.00,3495527463995.00, 31035301,12431,D,111357.00,112235.00
Kahroba,20251125, 112110.00, 112110.00, 110990.00, 111357.00,3328409826557.00, 29889547,15987,D,111262.00,111597.00
Kahroba,20251123, 111400.00, 111900.00, 111111.00, 111262.00,11797327926272.00, 106031976,12884,D,111045.00,111286.00
Kahroba,20251122, 111780.00, 111790.00, 110690.00, 111045.00,2772331339310.00, 24965853,14943,D,111810.00,110960.00
Kahroba,20251119, 111085.00, 112317.00, 111040.00, 111810.00,3941591013185.00, 35252424,12694,D,110299.00,111864.00
Kahroba,20251118, 110000.00, 110830.00, 109801.00, 110299.00,4084544648799.00, 37031509,12481,D,110782.00,110800.00
Kahroba,20251117, 111400.00, 111400.00, 110310.00, 110782.00,4552135746183.00, 41090921,10383,D,109807.00,111142.00
Kahroba,20251116, 110300.00, 110430.00, 109500.00, 109807.00,4608370634267.00, 41967835,17445,D,111279.00,109774.00
Kahroba,20251115, 112000.00, 112288.00, 110211.00, 111279.00,6074847914273.00, 54591208,22805,D,112191.00,110902.00
Kahroba,20251112, 111111.00, 112827.00, 111111.00, 112191.00,6490168632715.00, 57849369,19163,D,108670.00,111750.00
Kahroba,20251111, 107101.00, 109500.00, 107101.00, 108670.00,6515223850359.00, 59954170,19605,D,104976.00,109400.00
Kahroba,20251110, 104997.00, 105327.00, 104830.00, 104976.00,3003076646540.00, 28607148,9997,D,104270.00,105144.00
Kahroba,20251109, 104600.00, 104689.00, 103700.00, 104270.00,2351591554188.00, 22552827,10593,D,104260.00,104125.00
Kahroba,20251108, 104500.00, 104690.00, 103894.00, 104260.00,2834194073336.00, 27183865,11450,D,104536.00,104214.00
Kahroba,20251105, 104900.00, 105000.00, 104300.00, 104536.00,1908933459933.00, 18260968,9097,D,104989.00,104500.00
Kahroba,20251104, 104566.00, 105286.00, 104550.00, 104989.00,2833415769480.00, 26987856,10085,D,104162.00,104822.00
Kahroba,20251103, 104275.00, 104495.00, 103860.00, 104162.00,2328129920052.00, 22350962,8752,D,104172.00,104285.00
Kahroba,20251102, 104500.00, 104649.00, 103780.00, 104172.00,2871050908216.00, 27560716,10343,D,103759.00,103820.00
Kahroba,20251101, 103200.00, 104399.00, 102990.00, 103759.00,2760382241759.00, 26603674,11349,D,103086.00,104225.00
Kahroba,20251029, 103000.00, 103630.00, 102560.00, 103086.00,2600094044811.00, 25222461,12613,D,101118.00,102981.00
Kahroba,20251028, 102000.00, 102000.00, 100150.00, 101118.00,4048836816894.00, 40040748,21054,D,104038.00,101390.00
Kahroba,20251027, 104588.00, 104600.00, 103562.00, 104038.00,3586872685914.00, 34476519,16386,D,105327.00,103602.00
Kahroba,20251026, 105601.00, 105800.00, 104377.00, 105327.00,4628442402588.00, 43943754,20001,D,103736.00,104640.00
Kahroba,20251025, 103000.00, 104649.00, 102100.00, 103736.00,3189781082340.00, 30749111,13810,D,103482.00,104470.00
Kahroba,20251022, 104001.00, 104350.00, 102850.00, 103482.00,4239976622027.00, 40973030,18623,D,106050.00,103527.00
Kahroba,20251021, 106670.00, 106704.00, 104790.00, 106050.00,3902489241366.00, 36798730,22380,D,105892.00,104810.00
Kahroba,20251020, 106000.00, 106849.00, 105300.00, 105892.00,3357846767090.00, 31710062,12803,D,106755.00,106720.00
Kahroba,20251019, 106200.00, 107120.00, 106000.00, 106755.00,5712772466003.00, 53512990,14096,D,104720.00,106992.00
Kahroba,20251018, 104900.00, 104985.00, 104444.00, 104720.00,5569063753226.00, 53180669,21439,D,106963.00,104560.00
Kahroba,20251015, 107000.00, 107700.00, 106251.00, 106963.00,4322454195280.00, 40410621,15228,D,105227.00,106600.00
Kahroba,20251014, 105300.00, 105978.00, 104388.00, 105227.00,3701945955196.00, 35180427,12704,D,105675.00,104867.00
Kahroba,20251013, 106502.00, 106599.00, 104800.00, 105675.00,4734545251247.00, 44802695,16457,D,104448.00,105358.00
Kahroba,20251012, 104000.00, 106321.00, 103110.00, 104448.00,6618664676590.00, 63368041,23007,D,106920.00,105855.00
Kahroba,20251011, 107000.00, 107599.00, 106321.00, 106920.00,6125758564130.00, 57292669,26106,D,108579.00,106385.00
Kahroba,20251008, 109000.00, 109600.00, 108020.00, 108579.00,8306170760590.00, 76499202,20414,D,104109.00,108281.00
